,activation_hidden,activation_out,batch_size,hidden_layer_sizes,lambd,learning_rate_init,weights_bound,weights_dist
120,logistic,logistic,16,[4],0,0.005,,
121,logistic,tanh,32,[4],0,0.001,0.7,uniform
122,tanh,logistic,16,[4],0,0.001,0.7,uniform
123,logistic,tanh,16,[4],0,0.001,,
124,logistic,logistic,32,[4],0,0.01,,
125,logistic,logistic,8,[4],0,0.001,0.7,uniform
126,tanh,tanh,16,[4],0,0.0001,0.7,uniform
127,tanh,logistic,8,[4],0,0.0001,,
128,tanh,logistic,32,[4],0,0.001,0.7,uniform
129,logistic,tanh,8,[4],0,0.0001,0.7,uniform
130,logistic,logistic,32,[4],0,0.005,,
131,tanh,tanh,32,[4],0,0.0001,,
132,logistic,logistic,32,[4],0,0.005,0.7,uniform
133,logistic,tanh,32,[4],0,0.001,,
134,tanh,tanh,1,[4],0,0.05,0.7,uniform
135,tanh,tanh,32,[4],0,0.0001,0.7,uniform
136,logistic,logistic,1,[4],0,0.0001,0.7,uniform
137,logistic,logistic,8,[4],0,0.001,,
138,tanh,logistic,8,[4],0,0.0001,0.7,uniform
139,tanh,logistic,32,[4],0,0.0001,,
140,logistic,logistic,32,[4],0,0.001,,
141,logistic,logistic,16,[4],0,0.001,0.7,uniform
142,tanh,logistic,16,[4],0,0.0001,,
143,tanh,tanh,1,[4],0,0.05,,
144,logistic,logistic,32,[4],0,0.001,0.7,uniform
145,logistic,logistic,1,[4],0,0.0001,,
146,logistic,logistic,8,[4],0,0.0001,,
147,tanh,logistic,16,[4],0,0.0001,0.7,uniform
148,logistic,tanh,8,[4],0,0.0001,,
149,tanh,logistic,32,[4],0,0.0001,0.7,uniform
150,logistic,logistic,16,[4],0,0.001,,
151,logistic,tanh,32,[4],0,0.0001,,
152,logistic,logistic,16,[4],0,0.0001,,
153,logistic,tanh,16,[4],0,0.0001,0.7,uniform
154,logistic,logistic,8,[4],0,0.0001,0.7,uniform
155,logistic,logistic,32,[4],0,0.0001,,
156,logistic,tanh,32,[4],0,0.0001,0.7,uniform
157,logistic,tanh,16,[4],0,0.0001,,
158,logistic,logistic,32,[4],0,0.0001,0.7,uniform
159,logistic,logistic,16,[4],0,0.0001,0.7,uniform
