     ,activation_hidden ,alpha ,batch_size ,hidden_layer_sizes ,lambd   ,learning_rate ,learning_rate_init ,nesterov ,tau
  50 ,logistic          , 0.85 ,       128 ,"[30, 30]"         ,0.0005  ,linear_decay  ,            0.1    ,False    ,200
  51 ,logistic          , 0.75 ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,            0.1    ,False    ,200
  52 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,            0.01   ,True     ,500
  53 ,logistic          , 0.9  ,       128 ,"[30, 60]"         ,0.0001  ,linear_decay  ,            0.01   ,True     ,500
  54 ,logistic          , 0.75 ,       128 ,"[30, 30]"         ,0.001   ,linear_decay  ,            0.1    ,False    ,500
  55 ,logistic          , 0.8  ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,            0.1    ,False    ,200
  56 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,            0.1    ,False    ,500
  57 ,logistic          , 0.85 ,       128 ,"[30, 30]"         ,0.001   ,linear_decay  ,            0.1    ,False    ,200
  58 ,logistic          , 0.75 ,       128 ,"[30, 30]"         ,0.00025 ,linear_decay  ,            0.1    ,False    ,200
  59 ,logistic          , 0.85 ,       128 ,"[30, 30]"         ,0.0005  ,linear_decay  ,            0.1    ,False    ,500
  60 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,            0.01   ,False    ,200
  61 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.001   ,linear_decay  ,            0.1    ,False    ,200
  62 ,logistic          , 0.8  ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,            0.1    ,False    ,500
  63 ,logistic          , 0.8  ,       128 ,"[60, 30]"         ,0.001   ,linear_decay  ,            0.1    ,False    ,500
  64 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,            0.01   ,False    ,500
  65 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.0005  ,linear_decay  ,            0.01   ,False    ,500
  66 ,logistic          , 0.8  ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,            0.1    ,False    ,500
  67 ,logistic          , 0.9  ,       128 ,"[30, 60]"         ,0.00025 ,linear_decay  ,            0.01   ,False    ,500
  68 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,            0.005  ,True     ,500
  69 ,logistic          , 0.8  ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,            0.01   ,True     ,500
  70 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,            0.01   ,False    ,200
  71 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,            0.01   ,True     ,500
  72 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.001   ,linear_decay  ,            0.1    ,False    ,200
  73 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,            0.01   ,False    ,500
  74 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.0005  ,linear_decay  ,            0.01   ,True     ,500
  75 ,logistic          , 0.75 ,       128 ,"[30, 30]"         ,0.0005  ,linear_decay  ,            0.1    ,False    ,500
  76 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,            0.005  ,True     ,500
  77 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,            0.005  ,False    ,500
  78 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,            0.005  ,False    ,500
  79 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,            0.01   ,False    ,500
  80 ,logistic          , 0.8  ,       128 ,"[30, 30]"         ,0.0001  ,linear_decay  ,            0.1    ,False    ,200
  81 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,            0.01   ,False    ,500
  82 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,            0.01   ,True     ,500
  83 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,            0.1    ,False    ,200
  84 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,            0.01   ,True     ,500
  85 ,logistic          , 0.75 ,       128 ,"[30, 30]"         ,0.0001  ,linear_decay  ,            0.1    ,False    ,500
  86 ,logistic          , 0.75 ,       128 ,"[60, 30]"         ,0.001   ,linear_decay  ,            0.1    ,False    ,200
  87 ,logistic          , 0.9  ,       128 ,"[30, 60]"         ,0.0001  ,linear_decay  ,            0.01   ,False    ,500
  88 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.0005  ,linear_decay  ,            0.01   ,True     ,500
