,activation_hidden,activation_out,batch_size,hidden_layer_sizes,lambd,learning_rate_init,weights_bound,weights_dist
0,logistic,tanh,32,[3],0,0.05,,
1,tanh,tanh,1,[3],0,0.01,0.7,uniform
2,tanh,tanh,1,[3],0,0.005,0.7,uniform
3,tanh,tanh,32,[3],0,0.05,0.7,uniform
4,logistic,tanh,32,[3],0,0.05,0.7,uniform
5,tanh,tanh,8,[3],0,0.01,,
6,tanh,tanh,8,[3],0,0.05,0.7,uniform
7,tanh,logistic,8,[3],0,0.005,,
8,logistic,tanh,1,[3],0,0.01,,
9,logistic,tanh,1,[3],0,0.005,,
10,tanh,tanh,8,[3],0,0.005,0.7,uniform
11,tanh,logistic,1,[3],0,0.001,0.7,uniform
12,tanh,tanh,32,[3],0,0.01,,
13,logistic,logistic,1,[3],0,0.05,,
14,tanh,tanh,16,[3],0,0.01,0.7,uniform
15,logistic,tanh,1,[3],0,0.001,0.7,uniform
16,tanh,logistic,8,[3],0,0.05,0.7,uniform
17,tanh,logistic,8,[3],0,0.01,0.7,uniform
18,logistic,logistic,1,[3],0,0.05,0.7,uniform
19,tanh,tanh,32,[3],0,0.05,,
20,tanh,tanh,16,[3],0,0.05,,
21,logistic,tanh,1,[3],0,0.005,0.7,uniform
22,tanh,tanh,8,[3],0,0.01,0.7,uniform
23,tanh,tanh,1,[3],0,0.005,,
24,tanh,logistic,1,[3],0,0.005,,
25,tanh,logistic,16,[3],0,0.05,,
26,tanh,tanh,1,[3],0,0.001,0.7,uniform
27,tanh,tanh,1,[3],0,0.001,,
28,logistic,logistic,8,[3],0,0.05,,
29,logistic,tanh,16,[3],0,0.05,,
30,tanh,logistic,1,[3],0,0.01,0.7,uniform
31,tanh,tanh,32,[3],0,0.01,0.7,uniform
32,tanh,logistic,32,[3],0,0.05,0.7,uniform
33,tanh,tanh,8,[3],0,0.005,,
34,tanh,logistic,16,[3],0,0.01,,
35,tanh,tanh,8,[3],0,0.001,,
36,tanh,tanh,16,[3],0,0.005,0.7,uniform
37,logistic,tanh,8,[3],0,0.01,,
38,logistic,tanh,16,[3],0,0.01,0.7,uniform
39,logistic,tanh,8,[3],0,0.05,,
40,logistic,logistic,1,[3],0,0.01,,
41,logistic,tanh,8,[3],0,0.01,0.7,uniform
42,logistic,tanh,16,[3],0,0.05,0.7,uniform
43,logistic,tanh,8,[3],0,0.005,0.7,uniform
44,tanh,tanh,8,[3],0,0.05,,
45,logistic,tanh,1,[3],0,0.01,0.7,uniform
46,tanh,logistic,1,[3],0,0.01,,
47,logistic,logistic,1,[3],0,0.01,0.7,uniform
48,tanh,logistic,8,[3],0,0.01,,
49,tanh,logistic,1,[3],0,0.05,,
50,tanh,tanh,1,[3],0,0.0001,,
51,tanh,logistic,1,[3],0,0.005,0.7,uniform
52,tanh,tanh,16,[3],0,0.005,,
53,tanh,tanh,32,[3],0,0.005,0.7,uniform
54,tanh,tanh,16,[3],0,0.01,,
55,tanh,logistic,16,[3],0,0.05,0.7,uniform
56,logistic,tanh,1,[3],0,0.001,,
57,logistic,tanh,8,[3],0,0.05,0.7,uniform
58,logistic,logistic,16,[3],0,0.05,0.7,uniform
59,tanh,logistic,8,[3],0,0.05,,
60,tanh,tanh,16,[3],0,0.05,0.7,uniform
61,logistic,logistic,1,[3],0,0.005,0.7,uniform
62,logistic,logistic,8,[3],0,0.05,0.7,uniform
63,tanh,tanh,1,[3],0,0.01,,
64,tanh,logistic,1,[3],0,0.05,0.7,uniform
65,tanh,logistic,8,[3],0,0.005,0.7,uniform
66,logistic,tanh,8,[3],0,0.005,,
67,tanh,logistic,32,[3],0,0.05,,
68,tanh,logistic,1,[3],0,0.001,,
69,logistic,logistic,1,[3],0,0.005,,
70,tanh,tanh,1,[3],0,0.0001,0.7,uniform
71,tanh,logistic,16,[3],0,0.005,,
72,tanh,logistic,32,[3],0,0.01,,
73,logistic,tanh,16,[3],0,0.005,0.7,uniform
74,tanh,tanh,16,[3],0,0.001,,
75,logistic,tanh,32,[3],0,0.01,0.7,uniform
76,tanh,tanh,8,[3],0,0.001,0.7,uniform
77,logistic,logistic,16,[3],0,0.05,,
78,tanh,logistic,16,[3],0,0.01,0.7,uniform
79,tanh,tanh,32,[3],0,0.005,,
80,logistic,tanh,16,[3],0,0.01,,
81,logistic,tanh,16,[3],0,0.005,,
82,logistic,logistic,32,[3],0,0.05,,
83,logistic,tanh,1,[3],0,0.05,,
84,logistic,tanh,32,[3],0,0.01,,
85,logistic,logistic,1,[3],0,0.001,,
86,logistic,logistic,8,[3],0,0.01,,
87,tanh,tanh,16,[3],0,0.001,0.7,uniform
88,tanh,logistic,32,[3],0,0.01,0.7,uniform
89,logistic,logistic,8,[3],0,0.01,0.7,uniform
90,tanh,logistic,8,[3],0,0.001,,
91,logistic,logistic,32,[3],0,0.05,0.7,uniform
92,tanh,logistic,16,[3],0,0.005,0.7,uniform
93,tanh,logistic,16,[3],0,0.001,,
94,tanh,logistic,32,[3],0,0.005,,
95,logistic,logistic,16,[3],0,0.01,,
96,logistic,tanh,32,[3],0,0.005,,
97,tanh,tanh,32,[3],0,0.001,,
98,tanh,logistic,1,[3],0,0.0001,,
99,logistic,logistic,1,[3],0,0.001,0.7,uniform
100,tanh,tanh,32,[3],0,0.001,0.7,uniform
101,logistic,tanh,8,[3],0,0.001,0.7,uniform
102,logistic,tanh,32,[3],0,0.005,0.7,uniform
103,tanh,logistic,32,[3],0,0.001,,
104,logistic,tanh,16,[3],0,0.001,0.7,uniform
105,logistic,logistic,16,[3],0,0.01,0.7,uniform
106,logistic,logistic,8,[3],0,0.005,0.7,uniform
107,logistic,tanh,1,[3],0,0.0001,0.7,uniform
108,tanh,tanh,8,[3],0,0.0001,,
109,tanh,logistic,32,[3],0,0.005,0.7,uniform
110,logistic,logistic,16,[3],0,0.005,0.7,uniform
111,tanh,logistic,1,[3],0,0.0001,0.7,uniform
112,logistic,tanh,1,[3],0,0.05,0.7,uniform
113,logistic,tanh,1,[3],0,0.0001,,
114,logistic,logistic,8,[3],0,0.005,,
115,tanh,logistic,8,[3],0,0.001,0.7,uniform
116,logistic,tanh,8,[3],0,0.001,,
117,logistic,logistic,32,[3],0,0.01,0.7,uniform
118,tanh,tanh,8,[3],0,0.0001,0.7,uniform
119,logistic,tanh,32,[3],0,0.001,0.7,uniform
120,tanh,tanh,16,[3],0,0.0001,,
121,logistic,logistic,32,[3],0,0.01,,
122,tanh,logistic,16,[3],0,0.001,0.7,uniform
123,logistic,logistic,16,[3],0,0.005,,
124,tanh,logistic,8,[3],0,0.0001,,
125,tanh,tanh,16,[3],0,0.0001,0.7,uniform
126,tanh,tanh,32,[3],0,0.0001,,
127,tanh,logistic,32,[3],0,0.001,0.7,uniform
128,logistic,tanh,8,[3],0,0.0001,0.7,uniform
129,logistic,tanh,32,[3],0,0.001,,
130,logistic,logistic,8,[3],0,0.001,,
131,logistic,logistic,8,[3],0,0.001,0.7,uniform
132,logistic,logistic,32,[3],0,0.005,0.7,uniform
133,logistic,logistic,32,[3],0,0.005,,
134,logistic,logistic,16,[3],0,0.001,,
135,tanh,logistic,16,[3],0,0.0001,,
136,logistic,tanh,16,[3],0,0.001,,
137,logistic,tanh,16,[3],0,0.0001,,
138,logistic,logistic,1,[3],0,0.0001,0.7,uniform
139,logistic,logistic,1,[3],0,0.0001,,
140,logistic,tanh,8,[3],0,0.0001,,
141,tanh,logistic,8,[3],0,0.0001,0.7,uniform
142,logistic,logistic,16,[3],0,0.001,0.7,uniform
143,logistic,logistic,32,[3],0,0.001,,
144,tanh,tanh,32,[3],0,0.0001,0.7,uniform
145,logistic,tanh,32,[3],0,0.0001,0.7,uniform
146,logistic,tanh,32,[3],0,0.0001,,
147,tanh,logistic,32,[3],0,0.0001,,
148,logistic,tanh,16,[3],0,0.0001,0.7,uniform
149,logistic,logistic,32,[3],0,0.001,0.7,uniform
150,tanh,logistic,16,[3],0,0.0001,0.7,uniform
151,tanh,tanh,1,[3],0,0.05,,
152,tanh,tanh,1,[3],0,0.05,0.7,uniform
153,logistic,logistic,8,[3],0,0.0001,0.7,uniform
154,logistic,logistic,8,[3],0,0.0001,,
155,tanh,logistic,32,[3],0,0.0001,0.7,uniform
156,logistic,logistic,16,[3],0,0.0001,0.7,uniform
157,logistic,logistic,16,[3],0,0.0001,,
158,logistic,logistic,32,[3],0,0.0001,0.7,uniform
159,logistic,logistic,32,[3],0,0.0001,,
