     ,activation_hidden ,alpha ,batch_size ,epochs ,hidden_layer_sizes ,lambd  ,learning_rate ,learning_rate_init ,nesterov
  49 ,logistic          ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.1    ,False
  50 ,logistic          ,  0.0 ,       1   ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,False
  51 ,logistic          ,  0.0 ,       1   ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0005 ,False
  52 ,logistic          ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.1    ,False
  53 ,tanh              ,  0.0 ,       1   ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0005 ,False
  54 ,logistic          ,  0.0 ,       1   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0005 ,False
  55 ,tanh              ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,False
  56 ,logistic          ,  0.5 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,True
  57 ,tanh              ,  0.0 ,       1   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0001 ,False
  58 ,logistic          ,  0.0 ,       1   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
  59 ,logistic          ,  0.0 ,      64   ,   800 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.1    ,False
  60 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
  61 ,logistic          ,  0.8 ,       1   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,False
  62 ,logistic          ,  0.5 ,      64   ,   800 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.1    ,True
  63 ,tanh              ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0005 ,False
  64 ,logistic          ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.1    ,False
  65 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,False
  66 ,tanh              ,  0.0 ,       1   ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0001 ,False
  67 ,tanh              ,  0.5 ,      64   ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,True
  68 ,tanh              ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,True
  69 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.1    ,False
  70 ,logistic          ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,False
  71 ,logistic          ,  0.8 ,       1   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0005 ,False
  72 ,logistic          ,  0.0 ,       1   ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0005 ,False
  73 ,logistic          ,  0.8 ,       1   ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0001 ,False
  74 ,logistic          ,  0.8 ,       1   ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,False
  75 ,logistic          ,  0.5 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.1    ,True
  76 ,tanh              ,  0.8 ,       1   ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0001 ,False
  77 ,logistic          ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.1    ,False
  78 ,logistic          ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.1    ,False
  79 ,logistic          ,  0.0 ,       1   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,False
