     ,activation_hidden ,alpha ,batch_size ,epochs ,hidden_layer_sizes ,lambd  ,learning_rate ,learning_rate_init ,nesterov
 407 ,logistic          ,  0.0 ,       1   ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0001 ,False
 408 ,tanh              ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,False
 409 ,logistic          ,  0.5 ,       1.0 ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.1    ,True
 410 ,logistic          ,  0.5 ,      64   ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,True
 411 ,tanh              ,  0.0 ,      64   ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0005 ,False
 412 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.001  ,False
 413 ,logistic          ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 414 ,tanh              ,  0.0 ,       1   ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,False
 415 ,tanh              ,  0.5 ,      64   ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,True
 416 ,logistic          ,  0.8 ,       1.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,False
 417 ,logistic          ,  0.5 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,True
 418 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.0005 ,False
 419 ,tanh              ,  0.5 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,True
 420 ,tanh              ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0005 ,False
 421 ,logistic          ,  0.5 ,      64   ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,True
 422 ,logistic          ,  0.0 ,       1.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,False
 423 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.001  ,True
 424 ,tanh              ,  0.8 ,       1.0 ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.1    ,False
 425 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0005 ,False
 426 ,logistic          ,  0.5 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,True
 427 ,tanh              ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,False
 428 ,logistic          ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.1    ,False
 429 ,tanh              ,  0.5 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,True
 430 ,logistic          ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.1    ,False
 431 ,tanh              ,  0.5 ,      64   ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.001  ,True
 432 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,True
 433 ,logistic          ,  0.0 ,       1   ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.0001 ,False
 434 ,tanh              ,  0.5 ,      64   ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,True
 435 ,tanh              ,  0.5 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.001  ,True
 436 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.1    ,False
 437 ,logistic          ,  0.0 ,       1   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0001 ,False
 438 ,logistic          ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
 439 ,logistic          ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.1    ,False
 440 ,logistic          ,  0.5 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,True
 441 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,True
 442 ,tanh              ,  0.8 ,       1.0 ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,False
 443 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,False
 444 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.0005 ,False
 445 ,logistic          ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,True
 446 ,tanh              ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,True
 447 ,tanh              ,  0.0 ,      64   ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.1    ,False
 448 ,tanh              ,  0.0 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
 449 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.001  ,True
 450 ,tanh              ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,False
 451 ,tanh              ,  0.5 ,      64   ,   800 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.001  ,True
 452 ,tanh              ,  0.5 ,      64   ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.001  ,True
 453 ,tanh              ,  0.8 ,       1.0 ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,True
 454 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.001  ,False
 455 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.001  ,False
 456 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.0005 ,False
 457 ,logistic          ,  0.8 ,       1   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
 458 ,tanh              ,  0.8 ,       1   ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0001 ,False
 459 ,logistic          ,  0.8 ,       1.0 ,   200 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.1    ,False
 460 ,logistic          ,  0.0 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.1    ,False
 461 ,tanh              ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,False
 462 ,logistic          ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,False
 463 ,logistic          ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 464 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0005 ,False
 465 ,tanh              ,  0.8 ,       1   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0001 ,False
 466 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,False
 467 ,tanh              ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 468 ,logistic          ,  0.0 ,       1.0 ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 469 ,logistic          ,  0.0 ,       1   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0001 ,False
 470 ,tanh              ,  0.0 ,      64   ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0005 ,False
 471 ,logistic          ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,False
 472 ,tanh              ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.0005 ,False
 473 ,logistic          ,  0.0 ,       1.0 ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.1    ,False
 474 ,tanh              ,  0.0 ,       1   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
 475 ,logistic          ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,True
 476 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.1    ,False
 477 ,logistic          ,  0.5 ,       1.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.1    ,True
 478 ,logistic          ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.001  ,False
 479 ,logistic          ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 480 ,logistic          ,  0.5 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,True
 481 ,logistic          ,  0.0 ,       1   ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0001 ,False
 482 ,logistic          ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,True
 483 ,logistic          ,  0.8 ,       1   ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,False
 484 ,logistic          ,  0.0 ,       1.0 ,   800 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 485 ,logistic          ,  0.0 ,       1   ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0001 ,False
 486 ,tanh              ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,False
 487 ,tanh              ,  0.8 ,       1   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
 488 ,tanh              ,  0.8 ,       1   ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0005 ,False
 489 ,tanh              ,  0.5 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,True
 490 ,tanh              ,  0.5 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.001  ,True
 491 ,logistic          ,  0.5 ,      64   ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.1    ,True
 492 ,tanh              ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.001  ,True
 493 ,tanh              ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.001  ,False
 494 ,tanh              ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,True
 495 ,tanh              ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.0005 ,False
 496 ,tanh              ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.001  ,True
 497 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.0005 ,False
 498 ,tanh              ,  0.0 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,False
 499 ,tanh              ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
 500 ,tanh              ,  0.5 ,      64   ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,True
 501 ,logistic          ,  0.5 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.1    ,True
 502 ,tanh              ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.001  ,False
 503 ,logistic          ,  0.5 ,       1.0 ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,True
 504 ,tanh              ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.0005 ,False
 505 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.001  ,False
 506 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.1    ,False
 507 ,tanh              ,  0.5 ,      64   ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,True
 508 ,tanh              ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0005 ,False
 509 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.001  ,True
 510 ,logistic          ,  0.5 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,True
 511 ,tanh              ,  0.5 ,      64   ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.001  ,True
 512 ,tanh              ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,False
 513 ,logistic          ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,True
 514 ,logistic          ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 515 ,tanh              ,  0.5 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.001  ,True
 516 ,logistic          ,  0.0 ,      64   ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,False
 517 ,logistic          ,  0.0 ,       1.0 ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.1    ,False
 518 ,tanh              ,  0.0 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 519 ,logistic          ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.1    ,False
 520 ,logistic          ,  0.0 ,       1   ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0001 ,False
 521 ,logistic          ,  0.0 ,       1   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0001 ,False
 522 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,False
 523 ,tanh              ,  0.8 ,       1.0 ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,False
 524 ,logistic          ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.001  ,True
 525 ,logistic          ,  0.5 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.1    ,True
 526 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,False
 527 ,logistic          ,  0.5 ,      64   ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.1    ,True
 528 ,tanh              ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,False
 529 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,True
 530 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.1    ,False
 531 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,False
 532 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
 533 ,tanh              ,  0.8 ,       1.0 ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,True
 534 ,tanh              ,  0.5 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.001  ,True
 535 ,tanh              ,  0.5 ,      64   ,   800 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.001  ,True
 536 ,logistic          ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.001  ,False
 537 ,logistic          ,  0.0 ,      64   ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,False
 538 ,tanh              ,  0.8 ,       1   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,False
 539 ,tanh              ,  0.8 ,       1   ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,False
 540 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,True
 541 ,logistic          ,  0.5 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.1    ,True
 542 ,logistic          ,  0.0 ,       1   ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0001 ,False
 543 ,logistic          ,  0.5 ,       1.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,True
 544 ,tanh              ,  0.8 ,       1   ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
 545 ,logistic          ,  0.0 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,False
 546 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,True
 547 ,logistic          ,  0.0 ,       1   ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0001 ,False
 548 ,logistic          ,  0.5 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,True
 549 ,logistic          ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 550 ,logistic          ,  0.0 ,       1   ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0001 ,False
 551 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.1    ,True
 552 ,logistic          ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.001  ,True
 553 ,logistic          ,  0.0 ,      64   ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,False
 554 ,tanh              ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
 555 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.1    ,True
 556 ,logistic          ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.1    ,False
 557 ,tanh              ,  0.5 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.001  ,True
 558 ,tanh              ,  0.8 ,       1   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0005 ,False
 559 ,tanh              ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 560 ,tanh              ,  0.0 ,       1   ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
 561 ,logistic          ,  0.8 ,       1   ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
 562 ,logistic          ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.001  ,True
 563 ,logistic          ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.1    ,False
 564 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.001  ,True
 565 ,tanh              ,  0.8 ,       1   ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0005 ,False
 566 ,tanh              ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,False
 567 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.1    ,False
 568 ,tanh              ,  0.5 ,      64   ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,True
 569 ,tanh              ,  0.0 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.001  ,False
 570 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,True
 571 ,tanh              ,  0.8 ,       1   ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0001 ,False
 572 ,logistic          ,  0.0 ,       1   ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0001 ,False
 573 ,tanh              ,  0.5 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.001  ,True
 574 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,False
 575 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,False
 576 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.001  ,False
 577 ,logistic          ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.001  ,True
 578 ,tanh              ,  0.0 ,      64   ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.001  ,False
 579 ,tanh              ,  0.0 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,False
 580 ,logistic          ,  0.5 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,True
 581 ,logistic          ,  0.0 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,False
 582 ,logistic          ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.001  ,False
 583 ,logistic          ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 584 ,logistic          ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.1    ,True
 585 ,logistic          ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.1    ,False
 586 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.001  ,False
 587 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,True
 588 ,logistic          ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.001  ,False
 589 ,logistic          ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,False
 590 ,tanh              ,  0.0 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,False
 591 ,tanh              ,  0.0 ,      64   ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 592 ,logistic          ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,True
 593 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,True
 594 ,logistic          ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0005 ,False
 595 ,logistic          ,  0.8 ,       1.0 ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 596 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,False
 597 ,tanh              ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.1    ,False
 598 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.001  ,True
 599 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.001  ,False
 600 ,tanh              ,  0.0 ,      64   ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.001  ,False
 601 ,logistic          ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,True
 602 ,logistic          ,  0.0 ,      64   ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,False
 603 ,logistic          ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,False
 604 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,True
 605 ,tanh              ,  0.8 ,       1.0 ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0005 ,False
 606 ,logistic          ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.0005 ,False
 607 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.0005 ,False
 608 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,False
 609 ,logistic          ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0005 ,False
 610 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 611 ,tanh              ,  0.0 ,      64   ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,False
 612 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.001  ,True
 613 ,tanh              ,  0.0 ,      64   ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,False
 614 ,tanh              ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
 615 ,tanh              ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 616 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 617 ,tanh              ,  0.0 ,       1   ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,False
 618 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.001  ,False
 619 ,logistic          ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,True
 620 ,tanh              ,  0.8 ,       1   ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0001 ,False
 621 ,tanh              ,  0.8 ,       1   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,False
 622 ,tanh              ,  0.8 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0005 ,False
 623 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.001  ,True
 624 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.0005 ,False
 625 ,logistic          ,  0.8 ,       1   ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0005 ,False
 626 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.0005 ,False
 627 ,tanh              ,  0.8 ,       1.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.0005 ,False
