,activation_hidden,activation_out,batch_size,hidden_layer_sizes,lambd,learning_rate_init,weights_bound,weights_dist
112,tanh,tanh,1,[4],0.002,0.0001,0.7,uniform
113,logistic,logistic,1,[4],0.01,0.01,,
114,tanh,logistic,16,[4],0.005,0.005,0.7,uniform
115,logistic,tanh,8,[4],0.005,0.005,,
116,tanh,logistic,8,[4],0.01,0.05,0.7,uniform
117,logistic,tanh,1,[4],0.005,0.001,0.7,uniform
118,logistic,tanh,8,[4],0.01,0.01,,
119,tanh,logistic,16,[4],0.001,0.005,0.7,uniform
120,tanh,tanh,16,[4],0.001,0.001,0.7,uniform
121,logistic,logistic,1,[4],0.002,0.005,0.7,uniform
122,logistic,logistic,1,[4],0.01,0.001,,
123,tanh,logistic,16,[4],0.01,0.005,0.7,uniform
124,tanh,logistic,8,[4],0.001,0.005,0.7,uniform
125,tanh,tanh,1,[4],0.002,0.0001,,
126,tanh,logistic,1,[4],0.01,0.01,0.7,uniform
127,tanh,logistic,16,[4],0.01,0.05,0.7,uniform
128,logistic,logistic,16,[4],0.002,0.05,,
129,tanh,logistic,16,[4],0.01,0.05,,
130,logistic,tanh,32,[4],0.01,0.05,0.7,uniform
131,logistic,tanh,32,[4],0.01,0.005,0.7,uniform
132,tanh,tanh,8,[4],0.001,0.001,0.7,uniform
133,logistic,logistic,8,[4],0.01,0.01,,
134,tanh,logistic,16,[4],0.002,0.005,0.7,uniform
135,tanh,tanh,8,[4],0.002,0.001,,
136,logistic,tanh,32,[4],0.01,0.05,,
137,logistic,tanh,8,[4],0.01,0.05,0.7,uniform
138,tanh,tanh,1,[4],0.01,0.005,,
139,tanh,logistic,1,[4],0.01,0.05,,
140,logistic,logistic,1,[4],0.001,0.005,,
141,logistic,tanh,16,[4],0.002,0.01,,
142,logistic,logistic,8,[4],0.005,0.05,0.7,uniform
143,tanh,logistic,32,[4],0.005,0.05,0.7,uniform
144,logistic,tanh,8,[4],0.005,0.001,0.7,uniform
145,tanh,logistic,32,[4],0.005,0.05,,
146,tanh,logistic,8,[4],0.01,0.001,,
147,logistic,logistic,32,[4],0.005,0.05,,
148,tanh,logistic,1,[4],0.002,0.001,0.7,uniform
149,logistic,logistic,1,[4],0.001,0.005,0.7,uniform
150,tanh,logistic,16,[4],0.001,0.01,0.7,uniform
151,tanh,logistic,1,[4],0.001,0.0001,,
152,tanh,logistic,16,[4],0.001,0.001,,
153,logistic,tanh,8,[4],0.002,0.005,,
154,logistic,logistic,8,[4],0.005,0.05,,
155,tanh,logistic,16,[4],0.001,0.005,,
156,tanh,logistic,16,[4],0.005,0.001,,
157,logistic,tanh,8,[4],0.005,0.01,,
158,logistic,tanh,1,[4],0.002,0.0001,0.7,uniform
159,logistic,logistic,1,[4],0.005,0.001,0.7,uniform
160,logistic,logistic,1,[4],0.005,0.01,0.7,uniform
161,logistic,tanh,32,[4],0.002,0.005,0.7,uniform
162,tanh,logistic,1,[4],0.01,0.01,,
163,tanh,logistic,1,[4],0.01,0.005,0.7,uniform
164,logistic,tanh,1,[4],0.005,0.001,,
165,tanh,tanh,1,[4],0.001,0.0001,,
166,logistic,tanh,32,[4],0.002,0.01,,
167,logistic,logistic,16,[4],0.001,0.05,0.7,uniform
168,logistic,logistic,1,[4],0.002,0.005,,
169,tanh,tanh,8,[4],0.002,0.001,0.7,uniform
170,logistic,tanh,1,[4],0.005,0.005,0.7,uniform
171,logistic,logistic,16,[4],0.001,0.05,,
172,tanh,tanh,1,[4],0.001,0.0001,0.7,uniform
173,logistic,tanh,16,[4],0.001,0.01,,
174,tanh,logistic,32,[4],0.01,0.01,0.7,uniform
175,tanh,logistic,8,[4],0.01,0.05,,
176,logistic,logistic,1,[4],0.002,0.01,0.7,uniform
177,tanh,logistic,8,[4],0.002,0.005,,
178,logistic,logistic,8,[4],0.002,0.01,,
179,tanh,tanh,1,[4],0.01,0.001,0.7,uniform
180,tanh,logistic,32,[4],0.001,0.01,,
181,tanh,logistic,1,[4],0.01,0.005,,
182,logistic,logistic,1,[4],0.002,0.05,,
183,tanh,tanh,16,[4],0.005,0.005,0.7,uniform
184,tanh,tanh,8,[4],0.01,0.005,0.7,uniform
185,logistic,tanh,32,[4],0.005,0.05,,
186,tanh,tanh,32,[4],0.01,0.001,,
187,logistic,tanh,16,[4],0.002,0.01,0.7,uniform
188,logistic,tanh,16,[4],0.01,0.05,,
189,tanh,logistic,16,[4],0.002,0.01,,
190,logistic,logistic,1,[4],0.005,0.01,,
191,logistic,logistic,1,[4],0.005,0.05,0.7,uniform
192,logistic,tanh,8,[4],0.002,0.005,0.7,uniform
193,logistic,tanh,8,[4],0.001,0.005,,
194,tanh,tanh,16,[4],0.01,0.01,,
195,tanh,tanh,8,[4],0.01,0.005,,
196,logistic,tanh,1,[4],0.01,0.005,0.7,uniform
197,tanh,logistic,1,[4],0.001,0.001,0.7,uniform
198,tanh,logistic,16,[4],0.005,0.05,0.7,uniform
199,tanh,tanh,16,[4],0.01,0.01,0.7,uniform
