    ,activation_hidden ,activation_out ,batch_size ,hidden_layer_sizes ,lambd ,learning_rate_init ,weights_bound ,weights_dist
 65 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.1    ,          0.7 ,uniform
 66 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.05   ,              ,
 67 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.05   ,          0.7 ,uniform
 68 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.1    ,          0.1 ,uniform
 69 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.1    ,              ,
 70 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.1    ,          0.1 ,uniform
 71 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.1    ,          0.1 ,uniform
 72 ,tanh              ,logistic       ,         4 ,[4]                ,    0 ,            0.01   ,              ,
 73 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.01   ,          0.1 ,uniform
 74 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.005  ,          0.1 ,uniform
 75 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.05   ,              ,
 76 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.005  ,              ,
 77 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.001  ,          0.7 ,uniform
 78 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.1    ,          0.7 ,uniform
 79 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.1    ,          0.7 ,uniform
 80 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.01   ,              ,
 81 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.1    ,              ,
 82 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.001  ,              ,
 83 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.05   ,          0.1 ,uniform
 84 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.1    ,              ,
 85 ,tanh              ,logistic       ,         4 ,[4]                ,    0 ,            0.01   ,              ,
 86 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.05   ,          0.7 ,uniform
 87 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.01   ,          0.7 ,uniform
 88 ,logistic          ,logistic       ,         4 ,[4]                ,    0 ,            0.05   ,              ,
 89 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.01   ,              ,
 90 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.005  ,              ,
 91 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.01   ,          0.7 ,uniform
 92 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.05   ,              ,
 93 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.05   ,              ,
 94 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.05   ,              ,
 95 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.1    ,          0.1 ,uniform
 96 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.005  ,          0.1 ,uniform
 97 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.1    ,          0.1 ,uniform
 98 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.005  ,              ,
 99 ,logistic          ,logistic       ,         4 ,[4]                ,    0 ,            0.01   ,              ,
100 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.001  ,              ,
101 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.05   ,              ,
102 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.05   ,          0.7 ,uniform
103 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.0005 ,              ,
104 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.1    ,          0.1 ,uniform
105 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.1    ,              ,
106 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.05   ,          0.1 ,uniform
107 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.1    ,          0.1 ,uniform
108 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.05   ,          0.1 ,uniform
109 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.1    ,              ,
110 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.1    ,          0.1 ,uniform
111 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.01   ,              ,
112 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.01   ,          0.1 ,uniform
113 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.05   ,          0.1 ,uniform
114 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.05   ,              ,
115 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.01   ,              ,
116 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.005  ,              ,
117 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.005  ,          0.1 ,uniform
118 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.005  ,              ,
119 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.05   ,          0.7 ,uniform
120 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.005  ,          0.7 ,uniform
121 ,tanh              ,logistic       ,         4 ,[4]                ,    0 ,            0.001  ,              ,
122 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.01   ,              ,
123 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.01   ,          0.1 ,uniform
124 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.005  ,              ,
125 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.0005 ,              ,
126 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.05   ,              ,
127 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.005  ,          0.7 ,uniform
128 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.001  ,          0.1 ,uniform
129 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.005  ,              ,
130 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.01   ,          0.7 ,uniform
131 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.05   ,          0.7 ,uniform
132 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.05   ,              ,
133 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.1    ,          0.7 ,uniform
134 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.0005 ,          0.7 ,uniform
135 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.005  ,              ,
136 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.01   ,          0.7 ,uniform
137 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.005  ,          0.7 ,uniform
138 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.001  ,          0.7 ,uniform
139 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.05   ,              ,
140 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.1    ,          0.7 ,uniform
141 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.05   ,          0.1 ,uniform
142 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.0001 ,              ,
143 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.1    ,          0.1 ,uniform
144 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.001  ,              ,
145 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.05   ,          0.1 ,uniform
146 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.1    ,          0.1 ,uniform
147 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.01   ,              ,
148 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.01   ,              ,
149 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.1    ,              ,
150 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.005  ,          0.1 ,uniform
151 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.05   ,          0.1 ,uniform
152 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.01   ,          0.1 ,uniform
153 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.0005 ,              ,
154 ,tanh              ,logistic       ,         4 ,[4]                ,    0 ,            0.0005 ,              ,
155 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.01   ,          0.1 ,uniform
156 ,tanh              ,logistic       ,         4 ,[4]                ,    0 ,            0.001  ,              ,
157 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.005  ,              ,
158 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.001  ,          0.1 ,uniform
159 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.0005 ,          0.1 ,uniform
160 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.005  ,          0.1 ,uniform
161 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.05   ,          0.7 ,uniform
162 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.01   ,          0.7 ,uniform
163 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.05   ,          0.7 ,uniform
164 ,tanh              ,logistic       ,         1 ,[4]                ,    0 ,            0.0001 ,              ,
165 ,logistic          ,logistic       ,         1 ,[4]                ,    0 ,            0.001  ,          0.7 ,uniform
166 ,logistic          ,logistic       ,         4 ,[4]                ,    0 ,            0.01   ,              ,
167 ,logistic          ,logistic       ,         8 ,[4]                ,    0 ,            0.01   ,          0.7 ,uniform
168 ,logistic          ,logistic       ,         4 ,[4]                ,    0 ,            0.005  ,              ,
169 ,tanh              ,logistic       ,         8 ,[4]                ,    0 ,            0.005  ,          0.1 ,uniform
170 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.1    ,          0.1 ,uniform
171 ,tanh              ,logistic       ,        32 ,[4]                ,    0 ,            0.01   ,          0.1 ,uniform
172 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.1    ,          0.7 ,uniform
173 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.005  ,          0.7 ,uniform
174 ,logistic          ,logistic       ,        32 ,[4]                ,    0 ,            0.05   ,          0.1 ,uniform
175 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.01   ,          0.1 ,uniform
176 ,tanh              ,logistic       ,        16 ,[4]                ,    0 ,            0.005  ,          0.1 ,uniform
177 ,logistic          ,logistic       ,        16 ,[4]                ,    0 ,            0.05   ,          0.1 ,uniform
