,activation_hidden,activation_out,batch_size,hidden_layer_sizes,lambd,learning_rate_init,weights_bound,weights_dist
121,logistic,tanh,8,[4],0,0.01,,
122,tanh,logistic,8,[4],0,0.01,0.7,uniform
123,tanh,logistic,8,[2],0,0.005,,
124,logistic,tanh,16,[4],0,0.01,0.7,uniform
125,tanh,tanh,1,[4],0,0.0001,,
126,logistic,logistic,1,[4],0,0.005,,
127,logistic,logistic,1,[2],0,0.01,,
128,tanh,logistic,8,[2],0,0.01,0.7,uniform
129,logistic,tanh,1,[4],0,0.001,,
130,tanh,logistic,1,[2],0,0.001,0.7,uniform
131,tanh,logistic,16,[2],0,0.01,,
132,tanh,tanh,8,[4],0,0.001,0.7,uniform
133,logistic,logistic,16,[4],0,0.05,0.7,uniform
134,logistic,tanh,8,[2],0,0.005,0.7,uniform
135,tanh,logistic,32,[4],0,0.05,0.7,uniform
136,logistic,logistic,16,[2],0,0.05,,
137,tanh,logistic,1,[4],0,0.001,0.7,uniform
138,tanh,tanh,32,[2],0,0.005,,
139,tanh,tanh,8,[2],0,0.001,0.7,uniform
140,logistic,tanh,8,[2],0,0.01,,
141,tanh,logistic,8,[4],0,0.001,,
142,tanh,logistic,32,[2],0,0.05,0.7,uniform
143,tanh,logistic,8,[2],0,0.005,0.7,uniform
144,tanh,logistic,16,[4],0,0.005,,
145,logistic,logistic,32,[4],0,0.05,,
146,tanh,logistic,16,[4],0,0.01,0.7,uniform
147,logistic,tanh,16,[2],0,0.01,,
148,logistic,tanh,1,[2],0,0.001,,
149,tanh,logistic,32,[2],0,0.005,0.7,uniform
150,logistic,logistic,32,[4],0,0.005,0.7,uniform
151,logistic,logistic,32,[4],0,0.01,0.7,uniform
152,logistic,logistic,8,[2],0,0.001,0.7,uniform
153,logistic,logistic,8,[4],0,0.005,0.7,uniform
154,logistic,tanh,16,[2],0,0.001,0.7,uniform
155,logistic,logistic,1,[2],0,0.0001,0.7,uniform
156,logistic,tanh,8,[2],0,0.0001,0.7,uniform
157,logistic,logistic,1,[4],0,0.0001,0.7,uniform
158,logistic,logistic,8,[2],0,0.005,0.7,uniform
159,logistic,tanh,8,[2],0,0.001,0.7,uniform
160,logistic,logistic,32,[2],0,0.005,0.7,uniform
161,logistic,logistic,8,[4],0,0.001,0.7,uniform
162,logistic,tanh,32,[2],0,0.001,0.7,uniform
163,logistic,logistic,16,[2],0,0.005,0.7,uniform
164,logistic,logistic,16,[2],0,0.001,0.7,uniform
165,logistic,logistic,16,[4],0,0.01,0.7,uniform
166,logistic,logistic,16,[4],0,0.005,0.7,uniform
167,logistic,logistic,16,[4],0,0.001,0.7,uniform
168,logistic,logistic,32,[2],0,0.01,0.7,uniform
169,logistic,logistic,16,[2],0,0.01,0.7,uniform
170,logistic,tanh,1,[2],0,0.0001,,
171,logistic,logistic,8,[2],0,0.01,0.7,uniform
172,logistic,tanh,32,[4],0,0.001,0.7,uniform
173,logistic,tanh,16,[2],0,0.0001,0.7,uniform
174,logistic,tanh,32,[2],0,0.005,0.7,uniform
175,logistic,tanh,8,[4],0,0.0001,0.7,uniform
176,logistic,logistic,1,[2],0,0.001,0.7,uniform
177,logistic,logistic,32,[4],0,0.001,0.7,uniform
178,logistic,tanh,32,[2],0,0.0001,0.7,uniform
179,logistic,tanh,16,[2],0,0.01,0.7,uniform
180,logistic,logistic,1,[4],0,0.001,0.7,uniform
181,logistic,tanh,1,[2],0,0.0001,0.7,uniform
182,tanh,logistic,8,[2],0,0.001,0.7,uniform
183,logistic,tanh,16,[2],0,0.001,,
184,logistic,tanh,8,[2],0,0.001,,
185,logistic,tanh,32,[2],0,0.005,,
186,logistic,tanh,16,[4],0,0.0001,0.7,uniform
187,tanh,logistic,16,[4],0,0.001,0.7,uniform
188,logistic,tanh,32,[4],0,0.0001,0.7,uniform
189,logistic,logistic,8,[2],0,0.01,,
190,logistic,logistic,32,[2],0,0.001,0.7,uniform
191,logistic,tanh,1,[4],0,0.0001,0.7,uniform
192,tanh,logistic,16,[2],0,0.01,0.7,uniform
193,tanh,logistic,1,[2],0,0.0001,,
194,tanh,logistic,16,[2],0,0.005,0.7,uniform
195,tanh,tanh,32,[4],0,0.001,0.7,uniform
196,tanh,logistic,1,[4],0,0.0001,0.7,uniform
197,tanh,logistic,1,[4],0,0.0001,,
