,activation_hidden,activation_out,batch_size,hidden_layer_sizes,lambd,learning_rate_init,weights_bound,weights_dist
101,logistic,logistic,1,[4],0.0001,0.0001,0.1,
102,logistic,logistic,4,[4],0.0005,0.0005,0.7,uniform
103,logistic,logistic,4,[4],5e-05,0.0005,0.1,
104,logistic,logistic,4,[4],8e-05,0.0005,0.1,
105,logistic,logistic,1,[4],0.001,0.0001,0.1,
106,logistic,logistic,1,[4],5e-05,0.0001,0.7,uniform
107,logistic,logistic,4,[4],0.0005,0.0005,0.1,
108,logistic,logistic,4,[4],8e-05,0.0005,0.7,uniform
109,logistic,logistic,1,[4],8e-05,0.0001,0.7,uniform
110,logistic,logistic,1,[4],0.0001,0.0001,0.7,uniform
111,logistic,logistic,1,[4],0.0005,0.0001,0.7,uniform
112,logistic,logistic,4,[4],0.0001,0.0005,0.7,uniform
113,logistic,logistic,4,[4],5e-05,0.0005,0.7,uniform
114,logistic,logistic,1,[4],5e-05,0.0001,0.1,
115,logistic,logistic,4,[4],0.001,0.0005,0.1,
116,logistic,logistic,1,[4],0.001,0.0001,0.7,uniform
117,logistic,logistic,4,[4],0.0001,0.0005,0.1,
118,logistic,logistic,4,[4],8e-05,0.0001,0.7,uniform
119,logistic,logistic,1,[4],8e-05,0.0001,0.1,
120,logistic,logistic,4,[4],0.001,0.0001,0.7,uniform
121,logistic,logistic,4,[4],8e-05,0.0001,0.1,
122,logistic,logistic,4,[4],0.0001,0.0001,0.7,uniform
123,logistic,logistic,4,[4],5e-05,0.001,0.1,uniform
124,logistic,logistic,4,[4],0.0005,0.0001,0.1,
125,logistic,logistic,1,[4],0.0005,0.0001,0.1,
126,logistic,logistic,4,[4],0.0005,0.001,0.1,uniform
127,logistic,logistic,4,[4],5e-05,0.0001,0.7,uniform
128,logistic,logistic,4,[4],0.0001,0.0001,0.1,
129,logistic,logistic,4,[4],5e-05,0.0001,0.1,
130,logistic,logistic,4,[4],0.001,0.0001,0.1,
131,logistic,logistic,4,[4],0.001,0.001,0.1,uniform
132,logistic,logistic,4,[4],0.0005,0.0001,0.7,uniform
133,logistic,logistic,4,[4],0.0001,0.001,0.1,uniform
134,logistic,logistic,4,[4],5e-05,0.0001,0.1,uniform
135,logistic,logistic,4,[4],8e-05,0.001,0.1,uniform
136,logistic,logistic,4,[4],0.0001,0.0001,0.1,uniform
137,logistic,logistic,4,[4],8e-05,0.0005,0.1,uniform
138,logistic,logistic,4,[4],0.0001,0.0005,0.1,uniform
139,logistic,logistic,4,[4],0.0005,0.0001,0.1,uniform
140,logistic,logistic,4,[4],8e-05,0.0001,0.1,uniform
141,logistic,logistic,4,[4],0.001,0.0001,0.1,uniform
142,logistic,logistic,4,[4],0.001,0.0005,0.1,uniform
143,logistic,logistic,4,[4],5e-05,0.0005,0.1,uniform
144,logistic,logistic,1,[4],5e-05,0.0001,0.1,uniform
145,logistic,logistic,1,[4],8e-05,0.0001,0.1,uniform
146,logistic,logistic,1,[4],0.0001,0.0001,0.1,uniform
147,logistic,logistic,1,[4],0.0005,0.0001,0.1,uniform
148,logistic,logistic,1,[4],0.001,0.0001,0.1,uniform
149,logistic,logistic,4,[4],0.0005,0.0005,0.1,uniform
