,activation_hidden,alpha,batch_size,epochs,hidden_layer_sizes,lambd,learning_rate,learning_rate_init,nesterov,tau
75,logistic,0.8,128,500,"[30, 30, 30]",0.00025,linear_decay,0.1,False,500
76,logistic,0.8,128,500,"[60, 30]",0.00025,linear_decay,0.01,False,500
77,logistic,0.8,128,500,"[60, 30]",0.00025,linear_decay,0.01,True,500
78,logistic,0.8,128,500,"[30, 30]",0.00025,linear_decay,0.01,False,500
79,logistic,0.75,128,500,"[30, 60]",0.00025,linear_decay,0.1,False,200
80,logistic,0.8,128,500,"[30, 30]",0.0001,linear_decay,0.01,True,500
81,logistic,0.8,128,500,"[30, 60]",0.001,linear_decay,0.1,False,500
82,logistic,0.75,128,500,"[60, 30]",0.0001,linear_decay,0.1,True,200
83,logistic,0.75,128,500,"[30, 30, 30]",0.00025,linear_decay,0.01,False,500
84,logistic,0.8,128,500,"[30, 30]",0.0001,linear_decay,0.1,False,500
85,logistic,0.75,128,500,"[30, 30]",0.0001,linear_decay,0.1,False,200
86,logistic,0.75,128,500,"[60, 30]",0.00025,linear_decay,0.1,True,500
87,logistic,0.85,128,500,"[30, 30]",0.0005,linear_decay,0.01,False,500
88,logistic,0.85,128,500,"[30, 30]",0.0001,linear_decay,0.01,True,500
89,logistic,0.75,128,500,"[30, 60]",0.00025,linear_decay,0.1,False,500
90,logistic,0.75,128,500,"[30, 30, 30]",0.00025,linear_decay,0.01,True,500
91,logistic,0.8,128,500,"[30, 30, 30]",0.0001,linear_decay,0.1,True,200
92,logistic,0.8,128,500,"[60, 30]",0.0001,linear_decay,0.01,False,500
93,logistic,0.75,128,500,"[30, 30]",0.001,linear_decay,0.1,True,200
94,logistic,0.8,128,500,"[30, 60]",0.0001,linear_decay,0.01,False,500
95,logistic,0.8,128,500,"[30, 30]",0.00025,linear_decay,0.1,False,500
96,logistic,0.75,128,500,"[30, 30]",0.00025,linear_decay,0.1,True,500
97,logistic,0.75,128,500,"[30, 30]",0.0001,linear_decay,0.01,True,500
98,logistic,0.75,128,500,"[60, 30]",0.00025,linear_decay,0.1,True,200
99,logistic,0.8,128,500,"[30, 30]",0.00025,linear_decay,0.01,True,500
100,logistic,0.8,128,500,"[30, 60]",0.0005,linear_decay,0.1,False,500
101,logistic,0.85,128,500,"[30, 30]",0.00025,linear_decay,0.01,False,500
102,logistic,0.8,128,500,"[30, 30, 30]",0.0001,linear_decay,0.01,False,200
103,logistic,0.75,128,500,"[30, 30]",0.0005,linear_decay,0.1,True,500
