     ,activation_hidden ,activation_out ,alpha ,batch_size ,epochs ,hidden_layer_sizes ,lambd  ,learning_rate ,learning_rate_init ,nesterov
  44 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.1    ,False
  45 ,logistic          ,identity       ,  0.5 ,      64.0 ,   200 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.1    ,True
  46 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.1    ,False
  47 ,tanh              ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0001 ,False
  48 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.0005 ,False
  49 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.1    ,False
  50 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,False
  51 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0005 ,False
  52 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.1    ,False
  53 ,tanh              ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0005 ,False
  54 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0005 ,False
  55 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,False
  56 ,logistic          ,identity       ,  0.5 ,      64.0 ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,True
  57 ,tanh              ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0001 ,False
  58 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
  59 ,logistic          ,identity       ,  0.0 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.1    ,False
  60 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
  61 ,logistic          ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,False
  62 ,logistic          ,identity       ,  0.5 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.1    ,True
  63 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0005 ,False
