     ,activation_hidden ,activation_out ,alpha ,batch_size ,epochs ,hidden_layer_sizes ,lambd  ,learning_rate ,learning_rate_init ,nesterov
 375 ,tanh              ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.0005 ,False
 376 ,tanh              ,identity       ,  0.5 ,      64.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,True
 377 ,logistic          ,identity       ,  0.5 ,      64.0 ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.1    ,True
 378 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0005 ,False
 379 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,True
 380 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.1    ,True
 381 ,logistic          ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,False
 382 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,False
 383 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.1    ,False
 384 ,logistic          ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 385 ,tanh              ,identity       ,  0.0 ,      64.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
 386 ,logistic          ,identity       ,  0.0 ,      64.0 ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.1    ,False
 387 ,logistic          ,identity       ,  0.0 ,      64.0 ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.1    ,False
 388 ,tanh              ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,False
 389 ,logistic          ,identity       ,  0.5 ,      64.0 ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,True
 390 ,logistic          ,identity       ,  0.5 ,      64.0 ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.1    ,True
 391 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,False
 392 ,logistic          ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.1    ,False
 393 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
 394 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.1    ,False
 395 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.0005 ,False
 396 ,tanh              ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.001  ,False
 397 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 398 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0005 ,False
 399 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.1    ,False
 400 ,logistic          ,identity       ,  0.5 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,True
 401 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
 402 ,logistic          ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
 403 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.001  ,True
 404 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,True
 405 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.1    ,False
 406 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,False
 407 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0001 ,False
 408 ,tanh              ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,False
 409 ,logistic          ,identity       ,  0.5 ,       1.0 ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.1    ,True
 410 ,logistic          ,identity       ,  0.5 ,      64.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,True
 411 ,tanh              ,identity       ,  0.0 ,      64.0 ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0005 ,False
 412 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.001  ,False
 413 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 414 ,tanh              ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,False
 415 ,tanh              ,identity       ,  0.5 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,True
 416 ,logistic          ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,False
 417 ,logistic          ,identity       ,  0.5 ,      64.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,True
 418 ,tanh              ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.0005 ,False
 419 ,tanh              ,identity       ,  0.5 ,      64.0 ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,True
 420 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0005 ,False
 421 ,logistic          ,identity       ,  0.5 ,      64.0 ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,True
 422 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,False
 423 ,tanh              ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.001  ,True
 424 ,tanh              ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.1    ,False
 425 ,tanh              ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0005 ,False
 426 ,logistic          ,identity       ,  0.5 ,      64.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,True
 427 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,False
 428 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.1    ,False
 429 ,tanh              ,identity       ,  0.5 ,      64.0 ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,True
 430 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.1    ,False
 431 ,tanh              ,identity       ,  0.5 ,      64.0 ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.001  ,True
 432 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,True
 433 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.0001 ,False
 434 ,tanh              ,identity       ,  0.5 ,      64.0 ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,True
 435 ,tanh              ,identity       ,  0.5 ,      64.0 ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.001  ,True
 436 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.1    ,False
 437 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0001 ,False
 438 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
 439 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.1    ,False
 440 ,logistic          ,identity       ,  0.5 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,True
 441 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,True
 442 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,False
 443 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,False
 444 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.0005 ,False
 445 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,True
 446 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,True
 447 ,tanh              ,identity       ,  0.0 ,      64.0 ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.1    ,False
 448 ,tanh              ,identity       ,  0.0 ,      64.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
 449 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.001  ,True
 450 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,False
 451 ,tanh              ,identity       ,  0.5 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.001  ,True
 452 ,tanh              ,identity       ,  0.5 ,      64.0 ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.001  ,True
 453 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,True
 454 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.001  ,False
 455 ,tanh              ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.001  ,False
 456 ,tanh              ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.0005 ,False
 457 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
 458 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0001 ,False
 459 ,logistic          ,identity       ,  0.8 ,       1.0 ,   200 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.1    ,False
 460 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.1    ,False
 461 ,tanh              ,identity       ,  0.0 ,      64.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,False
 462 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,False
 463 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 464 ,tanh              ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0005 ,False
 465 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0001 ,False
 466 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,False
 467 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 468 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 469 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0001 ,False
 470 ,tanh              ,identity       ,  0.0 ,      64.0 ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0005 ,False
 471 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,False
 472 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.0005 ,False
 473 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.1    ,False
 474 ,tanh              ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
 475 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,True
 476 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.1    ,False
 477 ,logistic          ,identity       ,  0.5 ,       1.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.1    ,True
 478 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.001  ,False
 479 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 480 ,logistic          ,identity       ,  0.5 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,True
 481 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0001 ,False
 482 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,True
 483 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,False
 484 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 485 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0001 ,False
 486 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,False
 487 ,tanh              ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
 488 ,tanh              ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0005 ,False
 489 ,tanh              ,identity       ,  0.5 ,      64.0 ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,True
 490 ,tanh              ,identity       ,  0.5 ,      64.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.001  ,True
 491 ,logistic          ,identity       ,  0.5 ,      64.0 ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.1    ,True
 492 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.001  ,True
 493 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.001  ,False
 494 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,True
 495 ,tanh              ,identity       ,  0.8 ,      64.0 ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.0005 ,False
 496 ,tanh              ,identity       ,  0.8 ,      64.0 ,   200 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.001  ,True
 497 ,tanh              ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.0005 ,False
 498 ,tanh              ,identity       ,  0.0 ,      64.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,False
 499 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
 500 ,tanh              ,identity       ,  0.5 ,      64.0 ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,True
 501 ,logistic          ,identity       ,  0.5 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.1    ,True
 502 ,tanh              ,identity       ,  0.8 ,      64.0 ,   200 ,"[60, 60]"         ,0.001  ,linear_decay  ,            0.001  ,False
 503 ,logistic          ,identity       ,  0.5 ,       1.0 ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,True
 504 ,tanh              ,identity       ,  0.8 ,      64.0 ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.0005 ,False
 505 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.001  ,False
 506 ,tanh              ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.1    ,False
 507 ,tanh              ,identity       ,  0.5 ,      64.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,True
 508 ,tanh              ,identity       ,  0.8 ,      64.0 ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0005 ,False
 509 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.001  ,True
 510 ,logistic          ,identity       ,  0.5 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,True
 511 ,tanh              ,identity       ,  0.5 ,      64.0 ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.001  ,True
 512 ,tanh              ,identity       ,  0.0 ,      64.0 ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,False
 513 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,True
 514 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 515 ,tanh              ,identity       ,  0.5 ,      64.0 ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.001  ,True
 516 ,logistic          ,identity       ,  0.0 ,      64.0 ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,False
 517 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.1    ,False
 518 ,tanh              ,identity       ,  0.0 ,      64.0 ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 519 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.1    ,False
 520 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0001 ,False
 521 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0001 ,False
 522 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,False
 523 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,False
 524 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.001  ,True
 525 ,logistic          ,identity       ,  0.5 ,       1.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.1    ,True
 526 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,False
 527 ,logistic          ,identity       ,  0.5 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.1    ,True
 528 ,tanh              ,identity       ,  0.0 ,      64.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,False
 529 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,True
 530 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.1    ,False
 531 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,False
 532 ,tanh              ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
 533 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,True
 534 ,tanh              ,identity       ,  0.5 ,      64.0 ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.001  ,True
 535 ,tanh              ,identity       ,  0.5 ,      64.0 ,   800 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.001  ,True
 536 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.001  ,False
 537 ,logistic          ,identity       ,  0.0 ,      64.0 ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,False
 538 ,tanh              ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,False
 539 ,tanh              ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,False
 540 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,True
 541 ,logistic          ,identity       ,  0.5 ,      64.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.1    ,True
 542 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0001 ,False
 543 ,logistic          ,identity       ,  0.5 ,       1.0 ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,True
 544 ,tanh              ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
 545 ,logistic          ,identity       ,  0.0 ,      64.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,False
 546 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,True
 547 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0001 ,False
 548 ,logistic          ,identity       ,  0.5 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,True
 549 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 550 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0001 ,False
 551 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.1    ,True
 552 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.001  ,True
 553 ,logistic          ,identity       ,  0.0 ,      64.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,False
 554 ,tanh              ,identity       ,  0.0 ,      64.0 ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
 555 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.1    ,True
 556 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.1    ,False
 557 ,tanh              ,identity       ,  0.5 ,      64.0 ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.001  ,True
 558 ,tanh              ,identity       ,  0.8 ,       1.0 ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0005 ,False
 559 ,tanh              ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 560 ,tanh              ,identity       ,  0.0 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
 561 ,logistic          ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
 562 ,logistic          ,identity       ,  0.8 ,      64.0 ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.001  ,True
 563 ,logistic          ,identity       ,  0.0 ,       1.0 ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.1    ,False
 564 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.001  ,True
 565 ,tanh              ,identity       ,  0.8 ,       1.0 ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0005 ,False
 566 ,tanh              ,identity       ,  0.0 ,      64.0 ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,False
 567 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.1    ,False
 568 ,tanh              ,identity       ,  0.5 ,      64.0 ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,True
 569 ,tanh              ,identity       ,  0.0 ,      64.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.001  ,False
 570 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,True
 571 ,tanh              ,identity       ,  0.8 ,       1.0 ,   800 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0001 ,False
 572 ,logistic          ,identity       ,  0.0 ,       1.0 ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0001 ,False
 573 ,tanh              ,identity       ,  0.5 ,      64.0 ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.001  ,True
 574 ,logistic          ,identity       ,  0.8 ,      64.0 ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,False
