,val_mse_mean_rank,val_mse_mean,val_mse_dev,val_mee_mean_rank,val_mee_mean,val_mee_dev,tr_mse_mean_rank,tr_mse_mean,tr_mse_dev,tr_mee_mean_rank,tr_mee_mean,tr_mee_dev,split0_val_mse,split0_val_mee,split0_tr_mse,split0_tr_mee,split0_best_epoch,split1_val_mse,split1_val_mee,split1_tr_mse,split1_tr_mee,split1_best_epoch,split2_val_mse,split2_val_mee,split2_tr_mse,split2_tr_mee,split2_best_epoch,params
402,402,8.005565054281291,0.2374057631349614,403,36.13077353575056,2.7842067142149296,404,35.757784082360885,1.545034617077074,404,7.959611836106141,0.1471295924360155,7.670180182116256,32.21223829024253,33.8260532551278,7.848014790761335,799.0,8.159841634197582,37.75609252697154,37.60796276642392,8.167496683141763,799.0,8.186673346530034,38.42398979003759,35.83933622553094,7.863324034415329,799.0,"{'activation_hidden': 'logistic', 'activation_out': 'identity', 'alpha': 0, 'batch_size': 1.0, 'classification': False, 'early_stopping': False, 'epochs': 800, 'evaluation_metric': 'mee', 'hidden_layer_sizes': [60, 60], 'lambd': 0.0001, 'learning_rate': 'linear_decay', 'learning_rate_init': 0.0005, 'loss': 'mse', 'metric_decrease_tol': 1e-05, 'nesterov': False, 'random_state': None, 'reinit_weights': True, 'stopping_patience': 30, 'tau': 200, 'tol': 0.0001, 'validation_size': 0.1, 'verbose': False, 'weights_bound': None, 'weights_dist': None}"
403,405,8.118428626199895,0.1746237225854859,404,36.15966644042806,1.815507290790172,405,35.99229512385605,0.3457517421770984,405,8.09866604299219,0.0463283039695176,7.905465383867287,33.881399588601894,35.57559579841722,8.092968331731651,799.0,8.116627470361701,36.27350712849942,36.42220212669731,8.158040288385218,799.0,8.333193024370699,38.32409260418287,35.97908744645364,8.044989508859702,799.0,"{'activation_hidden': 'logistic', 'activation_out': 'identity', 'alpha': 0, 'batch_size': 1.0, 'classification': False, 'early_stopping': False, 'epochs': 800, 'evaluation_metric': 'mee', 'hidden_layer_sizes': [30, 30], 'lambd': 0.001, 'learning_rate': 'fixed', 'learning_rate_init': 0.0005, 'loss': 'mse', 'metric_decrease_tol': 1e-05, 'nesterov': False, 'random_state': None, 'reinit_weights': True, 'stopping_patience': 30, 'tau': 200, 'tol': 0.0001, 'validation_size': 0.1, 'verbose': False, 'weights_bound': None, 'weights_dist': None}"
404,404,8.104997357765816,0.2402286671523215,405,36.32984781451494,2.242537132336736,403,34.736280666406444,2.471062202019467,403,7.938461894466038,0.3331864701383141,7.8975432255556095,33.956827925435526,34.27796606107498,7.946224839773003,143.0,8.441719715785485,39.33845590113941,37.965718522833576,8.342593458779472,148.0,7.975729131956352,35.69425961696988,31.965157415310767,7.526567384845642,139.0,"{'activation_hidden': 'logistic', 'activation_out': 'identity', 'alpha': 0, 'batch_size': 1.0, 'classification': False, 'early_stopping': False, 'epochs': 200, 'evaluation_metric': 'mee', 'hidden_layer_sizes': [60, 60], 'lambd': 0.001, 'learning_rate': 'linear_decay', 'learning_rate_init': 0.001, 'loss': 'mse', 'metric_decrease_tol': 1e-05, 'nesterov': False, 'random_state': None, 'reinit_weights': True, 'stopping_patience': 30, 'tau': 200, 'tol': 0.0001, 'validation_size': 0.1, 'verbose': False, 'weights_bound': None, 'weights_dist': None}"
405,406,8.180052037628712,0.2154584867544003,406,36.98308971594836,1.5854014657983275,406,36.91390426214334,3.257787862092529,406,8.162127396823356,0.4120153868012622,8.306451622005882,37.99081382594808,40.18183772415197,8.536871337913025,199.0,8.356958259679052,38.21376385262257,38.09245078399835,8.361162274566604,199.0,7.876746231201201,34.74469146927443,32.4674242782797,7.588348577990442,199.0,"{'activation_hidden': 'logistic', 'activation_out': 'identity', 'alpha': 0, 'batch_size': 1.0, 'classification': False, 'early_stopping': False, 'epochs': 200, 'evaluation_metric': 'mee', 'hidden_layer_sizes': [30, 30, 30], 'lambd': 1e-05, 'learning_rate': 'linear_decay', 'learning_rate_init': 0.001, 'loss': 'mse', 'metric_decrease_tol': 1e-05, 'nesterov': False, 'random_state': None, 'reinit_weights': True, 'stopping_patience': 30, 'tau': 200, 'tol': 0.0001, 'validation_size': 0.1, 'verbose': False, 'weights_bound': None, 'weights_dist': None}"
406,407,8.418232824993387,0.1500472094379381,407,39.00731863756519,1.6007247500855175,407,38.8923798597388,0.8707022375025483,408,8.404447661641704,0.1116137880605905,8.218216962917278,36.81522259837824,38.6404856494568,8.412355521360222,799.0,8.456869029816254,39.613963138025255,40.062163906029,8.537020490492434,799.0,8.57961248224663,40.592770176292085,37.9744900237306,8.263966973072455,799.0,"{'activation_hidden': 'logistic', 'activation_out': 'identity', 'alpha': 0, 'batch_size': 1.0, 'classification': False, 'early_stopping': False, 'epochs': 800, 'evaluation_metric': 'mee', 'hidden_layer_sizes': [30, 30, 30], 'lambd': 0.001, 'learning_rate': 'fixed', 'learning_rate_init': 0.0005, 'loss': 'mse', 'metric_decrease_tol': 1e-05, 'nesterov': False, 'random_state': None, 'reinit_weights': True, 'stopping_patience': 30, 'tau': 200, 'tol': 0.0001, 'validation_size': 0.1, 'verbose': False, 'weights_bound': None, 'weights_dist': None}"
407,408,8.420414662025367,0.2180617937379221,408,39.55822993897469,1.930380653232292,408,39.45524006295378,0.7092557079996691,407,8.397551325864645,0.0774063842244084,8.114443459080087,36.8450961163059,39.22975981277836,8.378712177782118,199.0,8.540044063797437,40.65262735403172,40.41440471603013,8.500359536006284,199.0,8.606756463198575,41.176966346586426,38.72155566005286,8.31358226380553,199.0,"{'activation_hidden': 'logistic', 'activation_out': 'identity', 'alpha': 0, 'batch_size': 1.0, 'classification': False, 'early_stopping': False, 'epochs': 200, 'evaluation_metric': 'mee', 'hidden_layer_sizes': [30, 30], 'lambd': 0.0001, 'learning_rate': 'fixed', 'learning_rate_init': 0.0005, 'loss': 'mse', 'metric_decrease_tol': 1e-05, 'nesterov': False, 'random_state': None, 'reinit_weights': True, 'stopping_patience': 30, 'tau': 200, 'tol': 0.0001, 'validation_size': 0.1, 'verbose': False, 'weights_bound': None, 'weights_dist': None}"
408,410,8.49315074314275,0.1759555590830385,409,40.02383856901324,1.7272065045199,409,40.09382169416986,0.7591325305809431,410,8.501736829900771,0.0924626295320557,8.259898824938976,37.6746744179178,39.82993046848473,8.495022441411555,199.0,8.534705435111126,40.61882224282936,41.12698557371264,8.618187766370072,199.0,8.684847969378152,41.77801904629255,39.324549040312206,8.392000281920687,199.0,"{'activation_hidden': 'logistic', 'activation_out': 'identity', 'alpha': 0, 'batch_size': 1.0, 'classification': False, 'early_stopping': False, 'epochs': 200, 'evaluation_metric': 'mee', 'hidden_layer_sizes': [30, 30, 30], 'lambd': 0.0001, 'learning_rate': 'linear_decay', 'learning_rate_init': 0.001, 'loss': 'mse', 'metric_decrease_tol': 1e-05, 'nesterov': False, 'random_state': None, 'reinit_weights': True, 'stopping_patience': 30, 'tau': 200, 'tol': 0.0001, 'validation_size': 0.1, 'verbose': False, 'weights_bound': None, 'weights_dist': None}"
409,411,8.568620383246264,0.2144270168741388,410,41.14396021028888,2.620686205659704,411,41.65384853842193,4.689962509532321,411,8.614858337487023,0.4471671945638825,8.865802070942948,44.75621623841574,48.236723771682776,9.227597769758669,199.0,8.367773422802575,38.61971028927061,39.064506185070506,8.443952789845182,199.0,8.472285655993272,40.05595410318028,37.66031565851252,8.173024452857218,199.0,"{'activation_hidden': 'logistic', 'activation_out': 'identity', 'alpha': 0, 'batch_size': 1.0, 'classification': False, 'early_stopping': False, 'epochs': 200, 'evaluation_metric': 'mee', 'hidden_layer_sizes': [30, 30, 30], 'lambd': 1e-05, 'learning_rate': 'fixed', 'learning_rate_init': 0.0005, 'loss': 'mse', 'metric_decrease_tol': 1e-05, 'nesterov': False, 'random_state': None, 'reinit_weights': True, 'stopping_patience': 30, 'tau': 200, 'tol': 0.0001, 'validation_size': 0.1, 'verbose': False, 'weights_bound': None, 'weights_dist': None}"
410,409,8.466841278605402,0.3106911814708219,411,41.48158303907965,3.4453901284605983,410,41.36203459508095,3.232371343932647,409,8.457229586369584,0.3471022169303524,8.503697869115438,41.24110779721148,44.12596009400615,8.825951498396712,199.0,8.069236627062727,37.3872390141707,36.82683959364122,7.992238914911909,199.0,8.827589339638042,45.81640230585676,43.13330409759546,8.553498345800127,199.0,"{'activation_hidden': 'logistic', 'activation_out': 'identity', 'alpha': 0, 'batch_size': 1.0, 'classification': False, 'early_stopping': False, 'epochs': 200, 'evaluation_metric': 'mee', 'hidden_layer_sizes': [30, 30], 'lambd': 0.0001, 'learning_rate': 'linear_decay', 'learning_rate_init': 0.001, 'loss': 'mse', 'metric_decrease_tol': 1e-05, 'nesterov': False, 'random_state': None, 'reinit_weights': True, 'stopping_patience': 30, 'tau': 200, 'tol': 0.0001, 'validation_size': 0.1, 'verbose': False, 'weights_bound': None, 'weights_dist': None}"
411,412,8.66759098714096,0.3046797308890098,412,42.4485180442353,3.7880722496539567,412,42.36826316494668,1.7974446026054711,412,8.654208923221958,0.0844072139959477,8.320562624030769,38.04351867733512,40.21000992317671,8.548112928584699,199.0,8.6199195136013,42.0107104565322,42.28434728555689,8.659879746677168,199.0,9.062290823790809,47.29132499883857,44.61043228610643,8.754634094404006,199.0,"{'activation_hidden': 'logistic', 'activation_out': 'identity', 'alpha': 0, 'batch_size': 1.0, 'classification': False, 'early_stopping': False, 'epochs': 200, 'evaluation_metric': 'mee', 'hidden_layer_sizes': [30, 30, 30], 'lambd': 0.0001, 'learning_rate': 'fixed', 'learning_rate_init': 0.0005, 'loss': 'mse', 'metric_decrease_tol': 1e-05, 'nesterov': False, 'random_state': None, 'reinit_weights': True, 'stopping_patience': 30, 'tau': 200, 'tol': 0.0001, 'validation_size': 0.1, 'verbose': False, 'weights_bound': None, 'weights_dist': None}"
