,tr_mse_mean,tr_mse_dev,tr_mee_mean,tr_mee_dev,val_mse_mean,val_mse_dev,val_mee_mean,val_mee_dev,split0_tr_mse,split0_tr_mee,split0_val_mse,split0_val_mee,split0_best_epoch,split1_tr_mse,split1_tr_mee,split1_val_mse,split1_val_mee,split1_best_epoch,split2_tr_mse,split2_tr_mee,split2_val_mse,split2_val_mee,split2_best_epoch,split3_tr_mse,split3_tr_mee,split3_val_mse,split3_val_mee,split3_best_epoch,split4_tr_mse,split4_tr_mee,split4_val_mse,split4_val_mee,split4_best_epoch,params
0,1.5418121329263004,0.08674413974997831,1.3741501653085162,0.03799337099810163,1.7857777188911705,0.27369849447210043,1.4829369315618233,0.11126301005317275,1.4885877690167848,1.3422258307705834,2.0715665114919353,1.630996366503895,420.0,1.4222237722119309,1.324938820798181,2.0516269120708683,1.565009977353714,466.0,1.6815988581201773,1.433664521863321,1.322358364148234,1.305136397752297,319.0,1.5441330025458573,1.3843042424111358,1.7838260842238585,1.445427242832215,395.0,1.572517262736752,1.3856174106993593,1.6995107225209578,1.4681146733669954,485.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.85, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 0.0005, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.008, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
1,1.5951615358379132,0.06777188624070885,1.4052036070385934,0.03418172538081986,1.814979906198472,0.2918463820261021,1.4957800017002438,0.1165764125615232,1.5365457882942861,1.3671418743006458,2.0722097251137894,1.646204245793824,496.0,1.509342127132726,1.3706191653391975,2.1536790387369082,1.6026361580185327,479.0,1.7019846430262928,1.460276251787051,1.3369279245242716,1.3217750780426207,387.0,1.6187559163422323,1.4161996671238526,1.824983731258015,1.445212187654067,482.0,1.6091792043940283,1.4117810766422194,1.6870991113593745,1.4630723389921751,381.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.85, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 0.0005, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.006, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
2,1.6787284899170658,0.0575974094480488,1.4459942310861202,0.025377286564069672,1.8460653869321966,0.2865760471884527,1.516720156792014,0.119795228157675,1.632430721189655,1.4196380262907449,2.0863421663170447,1.6554823721627796,496.0,1.599699509928606,1.4137542432112693,2.153204534085431,1.618374436277175,491.0,1.764435119977211,1.4790763319500346,1.3412198258891044,1.3163051913118933,464.0,1.6927186922422066,1.4644983275140067,1.8621071995842573,1.4722273635039995,355.0,1.7043584062476498,1.4530042264645444,1.7874532087851451,1.5212114207042235,355.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.85, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 0.0005, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.004, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
3,1.4085659243445838,0.061743034589525556,1.3145908740460694,0.033803323894883955,1.764490159468016,0.2905384681326284,1.463532602650561,0.12142849661854502,1.3619570834824248,1.2840915054713085,2.0599405953218306,1.6298524008569475,498.0,1.3129156009778153,1.264961977475398,2.088143534308765,1.5594021418169068,496.0,1.4792413399783557,1.3514505804574004,1.2977485260099204,1.283095579136653,491.0,1.4348049904565636,1.332664070064057,1.7051267892296167,1.4006119988623031,499.0,1.4539106068277599,1.339786236762183,1.6714913524699482,1.444700892579996,433.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.85, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 0.00025, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.01, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
4,1.4489693417537022,0.06440480965199019,1.3386701556270815,0.03751769863700285,1.790843691447974,0.2985549296323545,1.4790774279680794,0.11224073089770409,1.3663381664666758,1.2862404025782557,2.0863039649040798,1.6229523529826237,487.0,1.3783215185541864,1.3037961741399855,2.126938049961515,1.5749353331811546,496.0,1.524306947025826,1.3851039181516052,1.3166539721934085,1.302801509539407,496.0,1.4981303848505922,1.365490412076213,1.7761193905511683,1.444648316863591,496.0,1.4777496918712307,1.3527198711893487,1.6482030796296983,1.4500496272736196,484.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.85, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 0.00025, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.008, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
5,1.5253523542321545,0.058300547657558106,1.3702351800529418,0.02831400637534969,1.8081785680327287,0.2937109914621749,1.4899848405040985,0.11613272566527644,1.4844263876959252,1.3376914752977018,2.0686131018210077,1.6282858586122444,490.0,1.4381990161981966,1.3354682105444164,2.138730076213902,1.5994071558359193,491.0,1.6058666592632844,1.398808312482021,1.3167642004069682,1.3054695880172722,496.0,1.5565632560253015,1.3989275078722143,1.820822478190474,1.4463365897848635,499.0,1.5417064519780657,1.3802803940683552,1.6959629835312917,1.4704250102701932,487.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.85, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 0.00025, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.006, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
6,1.588453219180722,0.04964046379756448,1.4018803415673815,0.02540167960663946,1.8008944526602133,0.2798217927777839,1.4931277945459516,0.11684271436002942,1.5348049217137822,1.3693645440782376,2.0302255360640693,1.628980589739895,497.0,1.5425835865465292,1.3794538308126871,2.13348351806128,1.6083677686534623,490.0,1.6684469011174845,1.4411400757801018,1.3289352293855057,1.3116452397424607,499.0,1.5788616882063344,1.4106443605679144,1.7833088236428378,1.4341756665535992,494.0,1.6175689983194799,1.4087988965979663,1.728519156147372,1.4824697080403406,498.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.85, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 0.00025, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.004, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
7,1.3087404667848588,0.048484315371094724,1.2751422147354154,0.029155828651389475,1.782079739923883,0.34915524107691276,1.4632567464785278,0.13511163180402527,1.2450206352123614,1.2325794435825874,2.1543756224100816,1.6441590481803012,486.0,1.2804517393732435,1.2514177077071693,2.211081223306224,1.5896122091726148,498.0,1.3461881392301074,1.3045854660087561,1.3033073916383346,1.2773641443831618,498.0,1.3807556941115697,1.3064138156315046,1.6740443860002097,1.3843586677205086,492.0,1.2912861259970128,1.2807146407470593,1.5675900762645656,1.4207896629360532,495.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.85, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 0.0001, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.01, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
8,1.3825711202018771,0.06505925410715772,1.3102830523574174,0.03374557648296755,1.7350865327400478,0.32494016503370493,1.4583891873522212,0.1285125015547754,1.3188699984369712,1.2703359415334161,2.0214521446511475,1.6322060074411457,489.0,1.3234225971795175,1.284597970303788,2.162502123581747,1.575413898451888,497.0,1.4990527119474693,1.3686369044059352,1.253445758086524,1.2798525475603577,494.0,1.388830432864444,1.315747789264829,1.6654855466427638,1.3866047350398671,495.0,1.382679860580984,1.312096656279118,1.5725470907380568,1.4178687482678471,498.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.85, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 0.0001, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.008, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
9,1.458549243546249,0.0660557403935537,1.3423571478916867,0.03667860118804539,1.7414432894570802,0.26716823764337994,1.4664368083624137,0.11354304227669655,1.407298513278726,1.3050464675134403,2.0152184137474225,1.6192616301310507,497.0,1.3615501376660841,1.293674217505779,2.008465799111089,1.5626396947281935,498.0,1.547758550323656,1.3882560878645112,1.3041804358135232,1.2971203146923433,497.0,1.4943999043615686,1.367599689767854,1.7735864711756568,1.4250520070453983,495.0,1.4817391121012102,1.3572092768068498,1.6057653274377095,1.4281103952150833,498.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.85, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 0.0001, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.006, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": false, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
