,tr_mse_mean,tr_mse_dev,tr_mee_mean,tr_mee_dev,val_mse_mean,val_mse_dev,val_mee_mean,val_mee_dev,split0_tr_mse,split0_tr_mee,split0_val_mse,split0_val_mee,split0_best_epoch,split1_tr_mse,split1_tr_mee,split1_val_mse,split1_val_mee,split1_best_epoch,split2_tr_mse,split2_tr_mee,split2_val_mse,split2_val_mee,split2_best_epoch,split3_tr_mse,split3_tr_mee,split3_val_mse,split3_val_mee,split3_best_epoch,split4_tr_mse,split4_tr_mee,split4_val_mse,split4_val_mee,split4_best_epoch,params
0,1.661009802468841,0.06189124722770153,1.439269624615373,0.02544187547649742,1.84344266237111,0.2970879644030213,1.5152503075906423,0.11776620267320645,1.6167568018797491,1.4140336051309357,2.0713773182611908,1.6438071074158496,494.0,1.5810499625109427,1.4077976460035797,2.168389721101471,1.6206885212205855,495.0,1.763797271244694,1.477095746456594,1.321219404122753,1.3126175919811534,495.0,1.6699989259594286,1.4488221482398733,1.9008265440873493,1.4909520104386778,499.0,1.6734460507493905,1.448598977245883,1.755400324282787,1.5081863068969452,498.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.7, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 0.0001, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.004, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": true, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
1,1.4999968776159207,0.05443887005245799,1.3568558403389004,0.02793878611967904,1.7903886231012454,0.306782624672877,1.4815427532882584,0.12661732082723684,1.4451650071946849,1.3290137427577977,2.084568784070186,1.6486402573474939,490.0,1.4284630950023507,1.3179961511553102,2.1387883776177574,1.5879845615482768,486.0,1.5691463342796887,1.3879674744319073,1.292174147031008,1.2883608408665739,481.0,1.5168609800255874,1.371791043555981,1.7630120622130665,1.427940415367596,493.0,1.5403489715772913,1.3775107897935064,1.6733997445742095,1.4547876913113513,483.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.7, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 5e-05, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.01, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": true, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
2,1.5385067515556643,0.06660238235592,1.3754852951822047,0.03453690583129932,1.8263025677201585,0.3101271402028737,1.4967618913012926,0.11864100375361172,1.4910926654417156,1.3364058459129307,2.1229657839961567,1.6484775120456494,496.0,1.4380595386552348,1.336014020078134,2.1715557256360003,1.6009654360068817,496.0,1.6216946209292455,1.4225332402393418,1.3137352409737517,1.3146794754433235,499.0,1.550470682149698,1.3820420472170265,1.7976457897938232,1.442201356894888,496.0,1.591216250602428,1.400431322463591,1.7256102982010613,1.4774856761157202,495.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.7, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 5e-05, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.008, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": true, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
3,1.5886483486730065,0.06770784296899711,1.400741713907894,0.028917940169396663,1.8064847254316057,0.3177803546770664,1.4926602985848603,0.13277782734436244,1.5525114036965708,1.3833289752003737,2.1077443209790014,1.6632431930907394,497.0,1.50853304837917,1.364885573618859,2.1589548509885366,1.6121960498439103,488.0,1.7117877690050436,1.4510046095250924,1.2888996165887414,1.2909860045022472,493.0,1.5874836242681696,1.4077896766803115,1.818309894711928,1.438985216354545,496.0,1.582925898016079,1.3966997345148333,1.6585149438898208,1.4578910291328595,498.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.7, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 5e-05, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.006, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": true, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
4,1.6579158663747293,0.06394707739266262,1.4363045699048174,0.027944866068446227,1.8652402036869131,0.3083892468908792,1.5259811765220566,0.12076432058277126,1.5877152626912374,1.4009968934579067,2.114093236186928,1.6594571764928918,498.0,1.5916525580184353,1.4089790730821834,2.226011786198166,1.6423075507083384,498.0,1.7539453228459445,1.4766646720068604,1.3444782237233224,1.3252787744889167,498.0,1.6548086045102839,1.4515811667157632,1.885207440991905,1.494889787078885,498.0,1.701457583807746,1.443301044261373,1.7564103313342447,1.5079725938412503,495.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.7, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [60, 30], ""lambd"": 5e-05, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.004, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": true, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
5,1.7330745093725568,0.0691791167128509,1.474329082881592,0.027822490923160338,1.92765671781098,0.34209528506434994,1.5597771478010531,0.13834645056035894,1.7107261066497046,1.457705931191826,2.263189287934717,1.7416662452541618,208.0,1.6223893114001795,1.4325966942575508,2.30583023467021,1.6787654182265521,208.0,1.8366992871569452,1.5156321393573815,1.3736847103588032,1.3497500572313663,231.0,1.7458356261977679,1.4820815364857103,1.9181677027635549,1.5038977175548656,239.0,1.749722215458187,1.483629113115492,1.7774116533276147,1.5248063007383197,226.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.7, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [30, 30, 30], ""lambd"": 0.001, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.01, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": true, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
6,1.7607808975611345,0.06839826748985636,1.4907852093763778,0.029539204214695743,1.8978394728496035,0.29002733495108884,1.544067891854217,0.11450002239502051,1.7301221666321065,1.4629417482777258,2.1185119193433386,1.6720395191443775,177.0,1.6765611024059575,1.460895107768992,2.251247279895487,1.6533576241785988,240.0,1.879454703023799,1.5416066243577127,1.4108114218541037,1.356050132732711,227.0,1.733703810656561,1.4876291234423245,1.9090879228366753,1.501182072065951,215.0,1.784062705087249,1.5008534430351346,1.7995388203184133,1.537710111149447,238.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.7, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [30, 30, 30], ""lambd"": 0.001, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.008, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": true, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
7,1.824110989462979,0.0719958440280833,1.5258643153682987,0.029529629838171884,1.9267629391342065,0.291561657064774,1.5717745712456879,0.11227977406428656,1.761372636935085,1.4931846419523958,2.13352776612921,1.6941235897261846,209.0,1.7474791121821693,1.4988139168615124,2.2583489562984536,1.6696250208861303,311.0,1.9505908912268983,1.574164070035447,1.4198338076802328,1.3771093276040907,192.0,1.834312246157508,1.5405827428680783,1.9972762457502973,1.5706089698932972,282.0,1.826800060813234,1.5225762051240601,1.82482791981284,1.5474059481187366,241.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.7, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [30, 30, 30], ""lambd"": 0.001, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.006, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": true, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
8,1.9094038311589117,0.046895998205147386,1.5759360886026017,0.02362814012244025,2.0230950460948973,0.3066467022254016,1.6184922914745883,0.12181859657539831,1.8768589698690608,1.550876710765398,2.3251295436584023,1.7829681631626113,250.0,1.8531117084076438,1.5543471426675228,2.264201768635025,1.6775014251101474,230.0,1.9896547233574582,1.6127841054959706,1.4881875227651276,1.4133368540201905,294.0,1.92576203296065,1.5929108158982739,2.150590801891644,1.6358578872188017,316.0,1.9016317211997458,1.5687616681858418,1.8873655935242866,1.5827971278611914,267.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.7, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [30, 30, 30], ""lambd"": 0.001, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.004, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": true, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
9,1.5992555375839825,0.06614430696921006,1.4086596413530825,0.03287410478673539,1.7997799521759383,0.278630524572482,1.4931570524704874,0.11248411692091903,1.5356594550651512,1.3709959240259226,2.0233315939464234,1.6257298316797577,453.0,1.515152945920283,1.3716233927312176,2.141811121469381,1.6024616874347155,378.0,1.6867520127659617,1.4544277707779,1.3365624194822237,1.3226718149716497,371.0,1.6039612286964144,1.416052821129037,1.775096191348275,1.4248519152720378,370.0,1.6547520454721025,1.4301982981013355,1.7220984346333874,1.490070012994276,355.0,"{""activation_hidden"": ""logistic"", ""activation_out"": ""identity"", ""alpha"": 0.7, ""batch_size"": 128, ""classification"": false, ""early_stopping"": false, ""epochs"": 500, ""evaluation_metric"": ""mee"", ""hidden_layer_sizes"": [30, 30, 30], ""lambd"": 0.0005, ""learning_rate"": ""fixed"", ""learning_rate_init"": 0.01, ""loss"": ""mse"", ""metric_decrease_tol"": 1e-05, ""nesterov"": true, ""random_state"": null, ""reinit_weights"": true, ""stopping_patience"": 30, ""tol"": 0.0001, ""validation_size"": 0.1, ""verbose"": false, ""weights_bound"": null, ""weights_dist"": null}"
